휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,,데이터갱신구분,,업태구분명,위생업태명,Latitude,Longitude
,,,15,156-879,서울특별시 동작구 사당동 190-163,"서울특별시 동작구 사당로2다길 85, 1층 (사당동)",7029,카페만나,,I,,커피숍,,37.48960715,126.9631015
,,,3.3,142-805,서울특별시 강북구 미아동 62-27 행복빌딩,"서울특별시 강북구 도봉로 63, 행복빌딩 1층 좌측호 (미아동)",1205,지에스(GS)25 미아영훈점,,I,,편의점,,37.61476283,127.0296937
,,,3.3,151-813,서울특별시 관악구 봉천동 100-324,"서울특별시 관악구 행운6길 2, 1층 101호 (봉천동)",8741,세븐일레븐 관악행운길점,,I,,편의점,,37.48118066,126.960049
,,,44.8,150-103,서울특별시 영등포구 양평동3가 78-19,"서울특별시 영등포구 선유동2로 15-1, 1층 (양평동3가)",7218,헤세드(Hessed),,I,,기타 휴게음식점,,37.53068332,126.8950343
,,,26.44,122-815,서울특별시 은평구 갈현동 513-5,"서울특별시 은평구 갈현로23길 10-1, 1층 (갈현동)",3324,모두의라면,,I,,기타 휴게음식점,,37.61670807,126.9128669
,,,26.4,132-952,서울특별시 도봉구 쌍문동 315-30,"서울특별시 도봉구 도봉로109길 58, 1층 (쌍문동)",1444,매머드 익스프레스 도봉한일병원점,,I,,커피숍,,37.64720525,127.0302759
,,,18.18,100-807,서울특별시 중구 만리동1가 33-2,"서울특별시 중구 만리재로 209-3, 1층 (만리동1가)",4508,까페 5.5,,I,,커피숍,,37.5562045,126.9682282
,,,6.6,143-887,서울특별시 광진구 중곡동 69-21 1층,"서울특별시 광진구 긴고랑로 151-1, 1층 (중곡동)",4944,개편한까페,,I,,커피숍,,37.55877439,127.0918698
,,,,135-730,서울특별시 강남구 삼성동 159-7 현대백화점,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",6164,마린느(한시적),,U,,기타 휴게음식점,,37.5085953,127.0597185
,,,3.3,136-719,서울특별시 성북구 길음동 20-1 현대백화점미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",2730,옛날호떡,,U,,기타 휴게음식점,,37.60837445,127.0287246
,,,3.3,158-724,서울특별시 양천구 목동 916 현대하이페리온,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",7998,어부의 밥상,,U,,백화점,,37.52685436,126.8750347
,,,6.6,100-011,서울특별시 중구 충무로1가 52-5,"서울특별시 중구 소공로 63, 지하1층 (충무로1가)",4530,(주)갑성,,U,,기타 휴게음식점,,37.56092263,126.9811387
,,,51.93,121-820,서울특별시 마포구 망원동 376-27,"서울특별시 마포구 월드컵로13길 20, 1층 (망원동)",4012,몬스터스토리지 메종 망원점,,I,,기타 휴게음식점,,37.55575837,126.9090826
,,,6,135-998,서울특별시 강남구 대치동 937,"서울특별시 강남구 도곡로 401, 지하1층 (대치동, 롯데백화점 강남점)",6206,도쿄타이야끼,,U,,백화점,,37.49705816,127.0535938
,,,6,150-802,서울특별시 영등포구 당산동3가 6-3,"서울특별시 영등포구 양산로 141, 101동 101호 (당산동3가)",7258,(주)비지에프리테일 영등포디벨리움점,,U,,편의점,,37.5238532,126.8989253
,,,49.31,157-210,서울특별시 강서구 마곡동 799-2 푸리마타워 108호,"서울특별시 강서구 공항대로 190, 푸리마타워 1층 108호 (마곡동)",7631,오슬로우 마곡역점,,U,,커피숍,,37.5590543,126.8285933
,,,8.87,136-071,서울특별시 성북구 안암동1가 5-4,"서울특별시 성북구 고려대로7마길 9, 1층 101호 (안암동1가)",2850,스포일드(Spoiled),,U,,기타 휴게음식점,,37.58887781,127.0196788
,,,16.83,150-103,서울특별시 영등포구 양평동3가 49-4 아테네,"서울특별시 영등포구 선유로33길 2-2, 101동 1층 101호 (양평동3가, 아테네)",7268,체크잇아웃!(Check it out!),,U,,커피숍,,37.52678428,126.8907808
,,,,138-889,서울특별시 송파구 잠실동 10 서울종합운동장,"서울특별시 송파구 올림픽로 25, 서울종합운동장 내 제2주차장 (잠실동)",5500,VIVA 푸드트럭,,U,,푸드트럭,,37.51647809,127.0729981
,,,54.5,121-837,서울특별시 마포구 서교동 347-11,"서울특별시 마포구 어울마당로 136-24, 3층 (서교동)",4053,카페 이벤트 디(Cafe Event D),,U,,커피숍,,37.55560786,126.9256147
,,18996865,28.7,139-860,서울특별시 노원구 중계동 359-9 마들플라자,"서울특별시 노원구 한글비석로 269, 마들플라자 1층 106호 (중계동)",1714,꽈배배 은행사거리점,,U,,커피숍,,37.65173053,127.0767966
,,,3.3,157-812,서울특별시 강서구 공항동 60-12 남원빌딩 1층,"서울특별시 강서구 송정로 49, 남원빌딩 1층 (공항동)",7627,씨유 강서하늘점,,I,,편의점,,37.5592342,126.8102307
,,,42.27,151-050,서울특별시 관악구 봉천동 1719-2 행복한감리교회,"서울특별시 관악구 은천로 149, 행복한감리교회 지하1층 (봉천동)",8729,"오, 루네(O' lune)",,U,,커피숍,,37.48657543,126.9520318
,,,10.74,151-803,서울특별시 관악구 봉천동 13-28,"서울특별시 관악구 청림길 12, 1층 (봉천동)",8733,장나라,,U,,일반조리판매,,37.48819254,126.9593607
,,,200.35,135-811,서울특별시 강남구 논현동 4-1 대영빌딩,"서울특별시 강남구 도산대로 124, 대영빌딩 A동 지하1층 (논현동)",6039,써브웨이 신사점,,U,,패스트푸드,,37.51686349,127.022372
,,,23,110-320,서울특별시 종로구 낙원동 119,"서울특별시 종로구 돈화문로11길 34-3, 1층 (낙원동)",3133,크로플스위트하우스,,U,,일반조리판매,,37.57279915,126.9894649
,,,19.8,135-821,서울특별시 강남구 논현동 107-45,"서울특별시 강남구 학동로43길 35, 지상1층 (논현동)",6058,퍼퓸트리(perfume tree),,U,,커피숍,,37.51846894,127.0376473
,,02 8081819,39.87,153-010,서울특별시 금천구 독산동 1147 금천롯데캐슬골드파크1차아파트,"서울특별시 금천구 벚꽃로 40, 113동 107호 (독산동, 금천롯데캐슬골드파크1차아파트)",8608,메가엠지씨커피 금천롯데캐슬,,U,,커피숍,,37.4597521,126.8944604
,,02 5120383,71.62,150-835,서울특별시 영등포구 문래동3가 57-3 태광빌딩 4층 403호,"서울특별시 영등포구 당산로 10, 태광빌딩 4층 403호 (문래동3가)",7299,메이커스유니온스퀘어,,U,,커피숍,,37.51557593,126.894415
,,,14.28,135-998,서울특별시 강남구 대치동 932-20,"서울특별시 강남구 삼성로63길 11, 지상1층 103호 (대치동)",6209,카페 만월경 대치중앙점,,I,,커피숍,,37.49973014,127.0592427
,,16001457,40,151-015,서울특별시 관악구 신림동 1738-1 지하 1층 08호,"서울특별시 관악구 난곡로 98, 지하1층 08호 (신림동)",8860,장상궁김밥 난향점,,U,,일반조리판매,,37.46398917,126.9194779
,,,14.8,150-820,서울특별시 영등포구 대림동 909-2 A동 지상1층,"서울특별시 영등포구 신길로 39, A동 지상1층 (대림동)",7440,점보피자,,U,,패스트푸드,,37.49645742,126.9080685
,,,26.01,138-864,서울특별시 송파구 잠실동 240-5 송원빌딩,"서울특별시 송파구 백제고분로19길 27, 송원빌딩 1층 (잠실동)",5565,와플 반달,,I,,커피숍,,37.50732278,127.0873871
,,,26.5,138-800,서울특별시 송파구 가락동 13-9,"서울특별시 송파구 송이로17길 54-28, 1층 (가락동)",5702,알로커피 ALLO COFFee,,I,,커피숍,,37.50086029,127.1262833
,,,6.6,140-854,서울특별시 용산구 이촌동 302-146,"서울특별시 용산구 양녕로 445, 1층 N-2호 (이촌동)",4427,미타임,,I,,커피숍,,37.5179937,126.9576477
,,02  34265559,3.3,134080,서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕 ,"서울특별시 강동구 아리수로50길 50, 1층 (고덕동, 래미안힐스테이트고덕)",5229,CU고덕래미안점,,I,,편의점,편의점,37.55894944,127.1470825
,,031 525 2185,68.42,135-893,서울특별시 강남구 신사동 603,"서울특별시 강남구 논현로 854, 지하1층 B109호 (신사동)",6022,조앤더주스 압구정역점,,U,,다방,,37.52541905,127.0288689
,,234081052,9.8,133-827,서울특별시 성동구 성수동2가 333-16,서울특별시 성동구 뚝섬로 379 (성수동2가),4781,(주)보승식품,,U,,일반조리판매,,37.53970995,127.052998
,,,20,152-834,서울특별시 구로구 고척동 253-112,"서울특별시 구로구 고척로33길 4, 1층 (고척동)",8246,대왕탕후루,,I,,기타 휴게음식점,,37.50289856,126.8492334
,,,42.9,130-100,서울특별시 동대문구 장안동 587 동대문 더퍼스트 데시앙,"서울특별시 동대문구 장한로27가길 37, 상가동 1층 107호 (장안동, 동대문 더퍼스트 데시앙)",2528,네이밍 카페 CAFEGO,,U,,커피숍,,37.57488774,127.0705933
